iter	LogLikelihoodOfPrediction	Logloss
243	0.8686315232	0.265525892
244	0.868663702	0.2655220108
245	0.8687629191	0.2655098752
246	0.8687652334	0.2655095198
247	0.8688021408	0.2655049826
248	0.8688176238	0.2655030693
249	0.8688736212	0.2654961815
250	0.8689266442	0.2654897037
251	0.8689676894	0.2654847565
252	0.8690090435	0.2654797
253	0.8691456185	0.2654628358
254	0.8692181324	0.265454062
255	0.8694049764	0.265431212
256	0.8695158646	0.2654176003
257	0.8695516637	0.2654132818
258	0.8696089449	0.2654060387
259	0.869636579	0.2654028408
260	0.869657515	0.2654000802
261	0.8696860889	0.2653966363
262	0.8698254251	0.2653795807
263	0.8698693048	0.2653741962
264	0.8699220401	0.2653676637
265	0.8699271399	0.2653671171
266	0.8700859537	0.2653476289
267	0.8701472306	0.2653401125
268	0.8701736286	0.2653368326
269	0.8702339818	0.2653294254
270	0.8702987558	0.2653216903
271	0.8703023049	0.2653211163
272	0.8703273568	0.2653180824
273	0.8703440733	0.2653159505
274	0.8703671945	0.2653133539
275	0.8703860631	0.2653109486
276	0.8704571383	0.2653021748
277	0.8705837189	0.2652866226
278	0.8706013345	0.2652844633
279	0.8706695829	0.2652762089
280	0.8707112965	0.265271125
281	0.8707266382	0.2652691297
282	0.870872571	0.2652511722
283	0.8708830619	0.2652499423
284	0.8708998184	0.2652478103
285	0.8709451016	0.2652423985
286	0.8709812501	0.2652379979
287	0.8710009535	0.2652356473
288	0.8710854535	0.2652252063
289	0.8711513893	0.2652171158
290	0.8711600826	0.2652160499
291	0.8711865635	0.265212606
292	0.8712423	0.2652059368
293	0.8713072605	0.265197983
294	0.8713200333	0.2651964797
295	0.8713432687	0.2651936645
296	0.8714371201	0.2651819935
297	0.8714569631	0.2651795609
298	0.8714585522	0.2651794515
299	0.8714849551	0.2651761716
300	0.8715066055	0.2651734384
301	0.8715442089	0.2651691198
302	0.871665947	0.2651540322
303	0.87166743	0.2651538682
304	0.8717636755	0.2651420879
305	0.871798494	0.2651377147
306	0.8718183423	0.2651354461
307	0.8718250739	0.2651345988
308	0.8718487204	0.2651316195
309	0.8718796825	0.2651278203
310	0.8718834873	0.265127383
311	0.8719489933	0.2651193472
312	0.8719503697	0.2651191285
313	0.8719561332	0.2651184179
314	0.8719738659	0.2651163133
315	0.8719927727	0.2651140173
316	0.8719939557	0.2651138533
317	0.8719970134	0.2651135527
318	0.8720127946	0.2651116667
319	0.8720202463	0.2651106008
320	0.8720231822	0.2651102728
321	0.8720283089	0.2651096714
322	0.8720425352	0.2651079768
